Word,GD,TRT,FFD,GPT,nFix,MPS
january,140.33333333333334,180.453125,118.76041666666667,205.359375,1.515625,3277.7091145833333
john,127.53846153846153,175.35042735042734,123.93162393162393,192.89743589743588,1.4615384615384615,3361.3092592592593
alston,190.05882352941177,328.52941176470586,123.11764705882354,303.94117647058823,2.411764705882353,3344.942156862745
maxton,140.4,225.06666666666666,128.1,222.13333333333333,1.9333333333333333,3375.3894444444445
baron,139.25925925925927,197.33333333333334,131.03703703703704,188.55555555555554,1.4444444444444444,3390.228395061728
born,125.4978448275862,157.8405172413793,114.95258620689656,151.11206896551724,1.3254310344827587,3325.07345545977
may,131.7325581395349,169.0872093023256,120.80813953488372,179.38953488372093,1.3372093023255813,3267.514534883721
labour,132.75,250.9318181818182,115.3409090909091,200.0909090909091,2.0454545454545454,3275.361631016043
backbench,165.58823529411765,342.5882352941176,140.47058823529412,380.4117647058824,2.4705882352941178,3346.8950980392156
member,123.18435754189944,177.24581005586592,112.68715083798882,160.72625698324023,1.558659217877095,3311.1567256765584
parliament,130.51724137931035,196.24137931034483,103.13793103448276,268.17241379310343,1.9655172413793103,3273.3896551724138
british,115.79824561403508,158.30701754385964,105.12280701754386,198.50877192982455,1.456140350877193,3259.5788429406853
commons,131.46153846153845,199.3846153846154,118.53846153846153,761.4615384615385,1.6923076923076923,3276.423076923077
reagan,184.4,275.05,131.95,204.5,1.95,3373.2541666666666
presidency,152.2058823529412,261.02941176470586,122.6470588235294,242.08823529411765,2.2058823529411766,3327.9898459383753
is,119.01754385964912,138.66959064327486,116.96783625730994,142.64327485380116,1.172514619883041,3383.4763157894736
regarded,133.3235294117647,227.55882352941177,114.8529411764706,180.5,1.911764705882353,3345.794117647059
turning,112.9375,148.9375,106.1875,138.1875,1.4375,3382.140625
point,93.3103448275862,108.10344827586206,90.48275862068965,106.27586206896552,1.206896551724138,3388.0689655172414
party,115.85714285714286,145.02678571428572,108.54464285714286,306.375,1.3214285714285714,3275.066220238095
american,121.54834905660377,165.1745283018868,105.72405660377359,171.27004716981133,1.5141509433962264,3258.8604264937107
conservative,172.77083333333334,224.75,120.91666666666667,266.2083333333333,1.9166666666666667,3235.1971726190477
movement,150.875,244.21875,140.59375,474.875,1.9375,3233.065476190476
richard,123.16129032258064,195.08064516129033,116.40322580645162,225.1290322580645,1.6774193548387097,3233.265456989247
bruce,127.28571428571429,221.78571428571428,121.85714285714286,199.42857142857142,1.9285714285714286,3360.3724489795923
cheney,129.97727272727272,177.88636363636363,109.54545454545455,173.8409090909091,1.6136363636363635,3370.501893939394
widely,114.55172413793103,143.6206896551724,100.0,173.93103448275863,1.3448275862068966,3267.798850574713
known,108.07317073170732,129.1158536585366,100.3780487804878,145.8109756097561,1.2682926829268293,3246.858231707317
dick,121.03225806451613,147.25806451612902,115.83870967741936,153.03225806451613,1.3225806451612903,3358.9112903225805
an,107.85920577617328,122.57761732851985,103.86281588447653,154.30324909747293,1.1570397111913358,3317.3853790613716
politician,152.4494382022472,198.3988764044944,136.07303370786516,322.185393258427,1.5056179775280898,3284.9457553058674
businessman,140.2258064516129,171.93548387096774,111.64516129032258,232.0483870967742,1.564516129032258,3281.651612903226
affiliated,118.5625,130.5625,118.5625,133.625,1.125,3288.125
with,113.12418300653594,141.36601307189542,107.43137254901961,164.1764705882353,1.2875816993464053,3259.319662309368
u.s,124.128,171.616,118.064,214.368,1.464,3249.545333333333
once,126.77272727272727,208.13636363636363,116.72727272727273,164.13636363636363,1.7727272727272727,3324.6950757575755
joked,112.23076923076923,198.3846153846154,100.0,186.6153846153846,1.8461538461538463,3191.0256410256407
youngest,101.3125,173.875,93.25,137.0625,1.75,3282.7395833333335
ex-governor,206.05555555555554,351.27777777777777,117.83333333333333,259.22222222222223,2.888888888888889,3343.8961640211637
nation,241.88235294117646,361.0,205.0,436.6470588235294,2.0588235294117645,3402.8656862745097
history,114.04651162790698,162.97674418604652,111.0,580.9767441860465,1.3953488372093024,3351.470930232558
frank,130.47619047619048,212.73809523809524,121.28571428571429,138.4047619047619,1.7380952380952381,3401.7547619047623
charles,148.23636363636365,235.4909090909091,118.47272727272727,245.07272727272726,2.018181818181818,3341.930757575758
carlucci,228.6,293.6,175.8,228.6,1.9333333333333333,3406.797777777778
iii,124.94117647058823,128.7058823529412,124.94117647058823,131.8235294117647,1.0588235294117647,3043.5
october,136.55769230769232,166.39423076923077,120.58653846153847,182.21153846153845,1.4230769230769231,3225.7155448717945
government,146.88135593220338,203.3728813559322,110.50847457627118,178.89830508474577,1.8305084745762712,3241.5575060532683
official,131.78571428571428,173.71428571428572,118.35714285714286,161.28571428571428,1.6428571428571428,3248.8809523809527
associated,125.33333333333333,170.93333333333334,114.2,125.33333333333333,1.5333333333333334,3250.766666666667
strong,96.35714285714286,213.35714285714286,96.35714285714286,176.78571428571428,2.2142857142857144,3429.708333333333
supporter,138.2941176470588,221.35294117647058,108.6470588235294,138.2941176470588,2.0,3281.377450980392
democratic,157.35294117647058,238.97058823529412,114.36764705882354,267.2647058823529,2.0661764705882355,3312.7845763305327
mostly,122.70588235294117,212.2941176470588,95.11764705882354,281.11764705882354,2.235294117647059,3353.705882352941
irish,120.30666666666667,163.37333333333333,118.62666666666667,184.49333333333334,1.36,3366.2506666666663
heritage,124.71428571428571,137.71428571428572,112.57142857142857,164.0,1.2857142857142858,3182.4285714285716
although,118.60416666666667,171.02083333333334,113.125,134.85416666666666,1.4791666666666667,3280.0902777777774
has,123.69822485207101,163.45562130177515,117.20118343195266,156.18343195266272,1.378698224852071,3298.3200197238652
some,111.84444444444445,126.9888888888889,100.24444444444444,152.72222222222223,1.2666666666666666,3237.125925925926
distant,137.57142857142858,185.71428571428572,124.21428571428571,206.42857142857142,1.5,3216.035714285714
german,129.40816326530611,171.36054421768708,117.95918367346938,193.2108843537415,1.4489795918367347,3323.354178814383
ancestry,133.16666666666666,169.08333333333334,104.5,706.5833333333334,1.4166666666666667,3332.215277777778
henry,118.25675675675676,145.5,111.10810810810811,140.06756756756758,1.3513513513513513,3441.2680180180178
david,138.6,209.13333333333333,123.15555555555555,203.9777777777778,1.6888888888888889,3215.578148148148
reginald,157.14285714285714,240.21428571428572,114.0,310.42857142857144,1.9285714285714286,3373.8809523809527
margesson,211.57692307692307,256.3076923076923,147.23076923076923,241.03846153846155,1.7307692307692308,3178.6987179487182
1st,133.91666666666666,146.91666666666666,133.91666666666666,157.25,1.0833333333333333,3109.5
viscount,209.58823529411765,260.2352941176471,129.58823529411765,276.4117647058824,2.0,3297.8529411764707
rugby,207.92307692307693,237.30769230769232,149.07692307692307,215.0,1.7692307692307692,3280.5
july,131.73426573426573,162.84615384615384,117.97202797202797,203.96503496503496,1.3146853146853146,3238.9230769230767
1890-december,240.27272727272728,347.6363636363636,133.54545454545453,434.8181818181818,2.727272727272727,3349.674242424243
most,117.0253164556962,138.8227848101266,113.0253164556962,128.8227848101266,1.240506329113924,3250.1118143459917
popularly,113.14285714285714,170.28571428571428,109.0,134.07142857142858,1.7142857142857142,3210.202380952381
remembered,128.5625,163.84375,112.90625,453.53125,1.5,3270.815104166667
his,113.98573975044563,140.2620320855615,110.65775401069519,169.2602495543672,1.2477718360071302,3331.6007130124776
tenure,170.5,184.0,126.42857142857143,185.71428571428572,1.6428571428571428,3175.1309523809527
chief,115.68571428571428,152.31428571428572,113.34285714285714,223.02857142857144,1.3142857142857143,3290.9476190476194
whip,147.625,159.875,137.5,147.625,1.25,3253.875
1930s,180.8,216.65,113.25,512.2,1.75,3263.1333333333337
retrospect,173.27777777777777,367.55555555555554,108.33333333333333,229.16666666666666,2.5,3279.202777777778
many,111.8,148.2,102.87272727272727,142.65454545454546,1.3818181818181818,3300.8545454545456
now,117.22950819672131,140.01639344262296,110.91803278688525,182.54098360655738,1.2622950819672132,3164.592896174863
view,116.06666666666666,189.2,100.06666666666666,225.0,1.8666666666666667,3493.155555555555
gore,125.29629629629629,161.4814814814815,116.44444444444444,134.77777777777777,1.4444444444444444,3347.736331569665
helpful,141.94117647058823,231.35294117647058,134.41176470588235,168.7058823529412,1.7647058823529411,3442.529411764706
factor,113.42857142857143,131.57142857142858,98.64285714285714,246.0,1.3571428571428572,3399.8214285714284
campaign,120.19047619047619,202.28571428571428,103.16666666666667,466.73809523809524,1.880952380952381,3244.7376984126986
benjamin,170.0,252.64285714285714,131.42857142857142,170.0,2.0714285714285716,3461.404761904762
everett,156.3125,263.5,142.0625,217.625,2.0,3422.9958333333334
jordan,145.77272727272728,202.22727272727272,145.77272727272728,411.5,1.3636363636363635,3388.7386363636365
september,155.44791666666666,195.39583333333334,117.73958333333333,210.23958333333334,1.5729166666666667,3362.7951388888887
march,121.20833333333333,144.27083333333334,112.46875,175.40625,1.28125,3213.2083333333335
senator,132.06896551724137,182.6206896551724,114.34482758620689,389.86206896551727,1.5517241379310345,3190.5258620689656
state,113.06557377049181,137.68032786885246,104.40983606557377,132.63114754098362,1.3278688524590163,3308.315573770492
north,101.41176470588235,117.58823529411765,99.41176470588235,125.94117647058823,1.1764705882352942,3244.8529411764707
carolina,180.34615384615384,199.23076923076923,156.65384615384616,373.96153846153845,1.4230769230769231,3314.2038461538464
between,129.77777777777777,176.7111111111111,109.28888888888889,143.72222222222223,1.511111111111111,3286.9009259259255
gaullist,157.27777777777777,348.3888888888889,120.05555555555556,239.88888888888889,2.7777777777777777,3386.125925925926
political,146.325,219.3625,129.775,351.8875,1.7,3299.4018750000005
family,125.35087719298245,148.47368421052633,114.2280701754386,203.03508771929825,1.280701754385965,3290.8267543859647
currently,123.63414634146342,145.609756097561,115.3170731707317,137.0487804878049,1.3658536585365855,3307.5353658536587
ump,255.0,322.7692307692308,209.53846153846155,803.5384615384615,1.6923076923076923,3447.871794871795
fellow-republican,298.05555555555554,620.3333333333334,123.05555555555556,391.77777777777777,5.444444444444445,3330.2120610870606
dwight,138.9375,221.875,134.5625,205.75,1.8125,3371.5791666666664
eisenhower,182.26666666666668,249.26666666666668,142.33333333333334,227.6,2.1333333333333333,3263.503703703704
saw,137.0,193.32,123.04,375.28,1.6,3199.1733333333336
rockefeller,136.89928057553956,182.58992805755395,111.27338129496403,258.44604316546764,1.60431654676259,3196.7580335731413
appointed,141.2,211.53333333333333,128.7,165.5,1.5,3213.811111111111
first,114.4692082111437,152.69208211143695,111.82111436950147,171.96480938416423,1.3372434017595307,3262.3047409579663
chair,117.1,158.7,96.9,141.7,1.7,3291.975
advisory,149.78571428571428,185.85714285714286,136.42857142857142,185.28571428571428,1.5714285714285714,3286.672619047619
committee,129.8148148148148,241.22222222222223,122.5925925925926,173.8148148148148,2.259259259259259,3245.6104938271606
on,104.40254237288136,129.0635593220339,101.80508474576271,172.89406779661016,1.2245762711864407,3317.1101694915255
organization,143.22727272727272,175.5,116.45454545454545,212.6818181818182,1.5909090909090908,3236.409090909091
later,125.904,162.288,114.568,157.752,1.352,3251.996
undersecretary,210.42857142857142,238.78571428571428,114.85714285714286,210.42857142857142,2.142857142857143,3155.5095238095237
department,131.15,160.3,115.125,168.325,1.525,3087.68125
health,134.1851851851852,170.59259259259258,113.14814814814815,156.07407407407408,1.5555555555555556,3178.8888888888887
education,113.77966101694915,147.6949152542373,107.05084745762711,159.25423728813558,1.3898305084745763,3244.6581920903955
welfare,159.27777777777777,179.11111111111111,114.38888888888889,801.5555555555555,1.3888888888888888,3181.935185185185
samuel,134.28571428571428,174.57142857142858,124.42857142857143,134.28571428571428,1.4285714285714286,3398.714285714286
adams,126.14772727272727,158.27272727272728,118.02272727272727,143.5681818181818,1.3522727272727273,3258.4191287878784
june,135.22522522522522,162.77477477477478,126.31531531531532,189.51351351351352,1.3243243243243243,3291.3465250965255
february,126.5241935483871,168.25,112.0241935483871,166.65322580645162,1.4919354838709677,3329.245430107527
governor,126.33333333333333,169.99319727891157,108.93197278911565,170.82993197278913,1.6122448979591837,3284.1954648526075
arkansas,170.04761904761904,225.76190476190476,112.04761904761905,389.9047619047619,1.8095238095238095,3238.647619047619
graduated,148.40983606557376,211.3155737704918,116.39754098360656,174.75409836065575,1.7704918032786885,3320.9487948868077
west,129.14285714285714,211.35714285714286,113.57142857142857,162.85714285714286,1.8571428571428572,3386.464285714286
ranking,96.94117647058823,133.7058823529412,96.94117647058823,112.05882352941177,1.2941176470588236,3363.1911764705883
21st,137.14285714285714,182.76190476190476,124.14285714285714,262.42857142857144,1.5238095238095237,3387.793650793651
class,144.43478260869566,166.56521739130434,119.26086956521739,196.0,1.4782608695652173,3388.7942028985503
brice,153.63636363636363,211.36363636363637,153.63636363636363,153.63636363636363,1.3636363636363635,3581.4545454545455
lalonde,174.14285714285714,355.14285714285717,116.85714285714286,293.64285714285717,2.857142857142857,3332.144557823129
former,119.23214285714286,159.20535714285714,112.13392857142857,219.17857142857142,1.4107142857142858,3291.597023809524
socialist,163.94117647058823,174.47058823529412,140.58823529411765,177.1764705882353,1.2941176470588236,3307.029411764706
green,126.19672131147541,150.2622950819672,111.14754098360656,189.31147540983608,1.3770491803278688,3190.9316939890714
leader,138.85714285714286,163.87301587301587,131.63492063492063,442.015873015873,1.2698412698412698,3256.539682539682
france,123.08823529411765,145.14705882352942,117.36764705882354,182.76470588235293,1.25,3266.2769607843134
who,110.76821192052981,119.58278145695364,105.76158940397352,162.49668874172184,1.1456953642384107,3286.9267108167774
ran,104.91891891891892,115.48648648648648,104.91891891891892,106.67567567567568,1.0810810810810811,3330.891891891892
generally,150.52272727272728,256.8181818181818,126.3409090909091,150.52272727272728,1.9545454545454546,3317.366666666667
moderate,134.83333333333334,151.88888888888889,113.61111111111111,134.83333333333334,1.3333333333333333,3211.8518518518517
new,105.15444015444015,129.34362934362935,102.46332046332046,154.85328185328186,1.277992277992278,3245.2151222651223
democrat,128.5054945054945,182.71428571428572,105.61538461538461,218.6043956043956,1.6923076923076923,3344.4661172161173
wing,112.75,158.0,112.75,142.16666666666666,1.4166666666666667,3358.569444444445
headed,153.2,200.4,111.2,158.93333333333334,1.9333333333333333,3221.1
centrist,176.72727272727272,264.8181818181818,117.36363636363636,222.8181818181818,2.090909090909091,3345.8
leadership,117.41666666666667,147.54166666666666,117.41666666666667,141.25,1.3333333333333333,3183.5458333333336
council,139.09302325581396,153.69767441860466,128.02325581395348,180.95348837209303,1.2325581395348837,3209.8953488372094
clooney,126.65789473684211,194.71052631578948,113.47368421052632,145.94736842105263,1.6578947368421053,3298.4122807017543
left,106.48,133.8,102.17333333333333,132.4,1.3066666666666666,3299.028888888889
amc,207.1875,230.75,158.0625,214.6875,1.5,3349.322916666667
run,140.93548387096774,162.4516129032258,135.70967741935485,179.67741935483872,1.2258064516129032,3245.2473118279568
seat,111.9,138.0,107.1,208.35,1.25,3284.2875
representing,136.46153846153845,157.30769230769232,106.6923076923077,185.69230769230768,1.3846153846153846,3248.576923076923
kentucky,138.30769230769232,183.30769230769232,113.6923076923077,231.92307692307693,1.6153846153846154,3233.0641025641025
4th,96.4375,103.125,96.4375,263.125,1.0625,3375.40625
congressional,164.63636363636363,197.0,103.45454545454545,191.27272727272728,1.7272727272727273,3245.9772727272725
district,130.79245283018867,165.75471698113208,113.35849056603773,230.9245283018868,1.4528301886792452,3263.2723270440256
rupert,154.07692307692307,251.15384615384616,142.92307692307693,154.07692307692307,1.8461538461538463,3310.25
cornford,190.41176470588235,317.1764705882353,137.0,236.35294117647058,2.4705882352941178,3324.7970588235294
december,138.03252032520325,175.39837398373984,113.82926829268293,177.21951219512195,1.4227642276422765,3277.477884243128
english,123.39772727272727,185.0681818181818,113.76136363636364,174.6931818181818,1.6590909090909092,3320.6895833333333
poet,136.6,201.8,130.0857142857143,227.8,1.6285714285714286,3373.9533333333334
communist,173.34848484848484,390.3787878787879,119.53030303030303,548.1212121212121,2.772727272727273,3341.2094967532466
academy,121.80327868852459,193.04098360655738,106.9672131147541,185.1639344262295,1.7377049180327868,3285.147534478272
established,146.1320754716981,257.45283018867923,113.09433962264151,216.56603773584905,2.188679245283019,3317.423899371069
reputation,139.38888888888889,156.77777777777777,112.27777777777777,152.5,1.4444444444444444,3363.277777777778
fearless,157.55555555555554,165.44444444444446,130.11111111111111,250.55555555555554,1.3333333333333333,3389.027777777778
expert,164.76470588235293,197.0,127.52941176470588,237.76470588235293,1.7058823529411764,3368.789215686275
horseman,149.5,192.64285714285714,132.21428571428572,466.7142857142857,1.4285714285714286,3366.3214285714284
durward,168.30769230769232,339.9230769230769,102.61538461538461,294.3076923076923,2.6923076923076925,3386.782967032967
white,120.15384615384616,167.0,120.15384615384616,120.15384615384616,1.5384615384615385,3351.948717948718
bush,135.07801418439718,186.5531914893617,122.50354609929079,151.58156028368793,1.475177304964539,3331.216903073286
lifelong,116.6,190.2,107.06666666666666,186.0,1.7333333333333334,3250.494444444444
both,116.33333333333333,161.26190476190476,102.02380952380952,149.23809523809524,1.5,3425.654761904762
oil,119.82051282051282,140.46153846153845,119.82051282051282,249.76923076923077,1.2307692307692308,3184.4273504273506
professional,150.8235294117647,206.36764705882354,120.58823529411765,233.86764705882354,1.7352941176470589,3284.886029411765
sports,125.72727272727273,125.72727272727273,118.72727272727273,223.0909090909091,1.0909090909090908,3172.8636363636365
industries,117.71428571428571,164.85714285714286,96.57142857142857,399.85714285714283,1.6428571428571428,3304.910714285714
vice,118.56666666666666,166.46666666666667,111.23333333333333,156.7,1.5333333333333334,3347.0950000000003
served,134.57004830917873,173.30917874396135,117.20772946859903,178.2657004830918,1.4541062801932367,3275.966850701633
senate,128.32608695652175,208.6304347826087,105.1304347826087,192.08695652173913,1.891304347826087,3344.946583850932
minnesota,131.11111111111111,282.05555555555554,109.61111111111111,808.0,2.111111111111111,3309.9699074074074
father,123.43181818181819,192.68939393939394,114.07575757575758,167.66666666666666,1.606060606060606,3339.243686868687
tanner,178.9375,352.625,147.9375,206.0,2.1875,3410.619791666667
mother,125.92857142857143,175.64285714285714,106.4795918367347,164.0612244897959,1.6122448979591837,3224.8118804664723
were,108.6625,138.5625,104.1,168.4375,1.3125,3287.8489583333335
pennsylvania,204.2962962962963,252.92592592592592,141.96296296296296,573.5555555555555,1.8518518518518519,3337.6697530864194
lincoln,129.0,168.6122448979592,119.14285714285714,156.53061224489795,1.3877551020408163,3303.636054421769
vasil,140.1818181818182,211.1818181818182,128.27272727272728,140.1818181818182,1.4545454545454546,3442.075757575758
petrov,156.41176470588235,382.4117647058824,121.70588235294117,229.1764705882353,3.0,3442.2885154061623
kolarov,146.93333333333334,239.93333333333334,141.66666666666666,182.86666666666667,1.7333333333333334,3456.611111111111
bulgarian,142.94285714285715,223.0857142857143,120.91428571428571,160.02857142857144,1.9428571428571428,3287.065238095238
erich,138.44444444444446,256.3333333333333,114.66666666666667,138.44444444444446,2.0,3525.287037037037
honecker,189.0,380.8125,134.0625,293.3125,2.6875,3388.713541666667
august,141.83453237410072,179.45323741007195,124.32374100719424,180.69064748201438,1.4388489208633093,3293.185851318945
led,117.55555555555556,197.05555555555554,115.11111111111111,151.88888888888889,1.5555555555555556,3268.784722222222
east,120.58823529411765,172.23529411764707,116.47058823529412,176.41176470588235,1.4705882352941178,3347.578431372549
germany,127.6,152.7,120.4,144.7,1.4,3206.75
until,122.92857142857143,149.14285714285714,107.45238095238095,258.51190476190476,1.2857142857142858,3266.4452380952384
walter,153.28571428571428,205.35714285714286,142.28571428571428,153.28571428571428,1.5,3286.0238095238096
ulbricht,155.3125,409.375,96.1875,276.625,2.5,3324.8821022727275
contest,168.0,349.7692307692308,146.46153846153845,194.76923076923077,2.3076923076923075,3311.221153846154
two,112.06024096385542,135.72289156626505,106.51807228915662,269.34939759036143,1.2771084337349397,3256.5622489959833
bitter,116.28571428571429,191.42857142857142,110.92857142857143,148.78571428571428,1.6428571428571428,3338.4940476190473
they,113.25,164.34615384615384,108.09615384615384,137.05769230769232,1.3653846153846154,3418.8258547008545
differed,122.4375,222.4375,118.625,122.4375,1.875,3421.4114583333335
little,119.33333333333333,254.66666666666666,119.33333333333333,671.8666666666667,2.2666666666666666,3351.4333333333334
issues,122.4,155.45,97.6,427.65,1.45,3384.3916666666673
joseph,136.97222222222223,207.33333333333334,115.86111111111111,152.33333333333334,1.7777777777777777,3298.5462962962965
forney,158.14285714285714,328.0,143.71428571428572,270.57142857142856,2.2142857142857144,3395.4666666666662
johnston,141.6153846153846,199.69230769230768,123.38461538461539,170.46153846153845,1.6923076923076923,3347.230769230769
alabama,127.54545454545455,173.9090909090909,121.9090909090909,178.36363636363637,1.4545454545454546,3212.5606060606065
hanks,135.82142857142858,216.01785714285714,128.21428571428572,156.32142857142858,1.5892857142857142,3307.3994047619044
supported,116.06666666666666,174.0,99.53333333333333,129.93333333333334,1.6,3310.6277777777777
candidates,129.16666666666666,148.66666666666666,118.08333333333333,153.5,1.4166666666666667,3166.097222222222
including,122.02439024390245,137.109756097561,114.1951219512195,276.0853658536585,1.2073170731707317,3298.556910569106
hilary,110.07692307692308,192.92307692307693,110.07692307692308,292.38461538461536,2.0,3269.4935897435894
diane,148.25,201.70833333333334,148.25,246.83333333333334,1.4166666666666667,3332.194444444444
feinstein,122.5,122.5,108.0,122.5,1.1,3321.1
al,73.5,73.5,73.5,780.0,1.0,3872.0
kerry,127.36363636363636,214.72727272727272,127.36363636363636,611.3636363636364,1.6363636363636365,3385.9740259740265
arnold,137.88888888888889,160.74074074074073,124.96296296296296,152.62962962962962,1.2962962962962963,3282.9074074074074
alois,147.21428571428572,221.07142857142858,123.21428571428571,267.2142857142857,1.6428571428571428,3468.845238095238
schwarzenegger,140.46938775510205,188.89795918367346,108.95918367346938,219.6734693877551,1.7551020408163265,3408.528571428572
thal,132.9,173.8,115.7,253.6,1.3,3382.55
styria,180.11111111111111,257.0,114.22222222222223,218.22222222222223,1.8888888888888888,3445.0740740740744
austria,112.0,173.0,98.3,527.4,1.8,3328.3125
austrian-american,241.05882352941177,363.4117647058824,98.11764705882354,341.70588235294116,3.176470588235294,3313.9225490196077
actor,131.5611510791367,143.79856115107913,122.86330935251799,199.23021582733813,1.1942446043165467,3272.543165467626
bodybuilder,150.5,190.6875,112.4375,202.625,1.6875,3264.59375
serving,112.86075949367088,154.8860759493671,104.86075949367088,124.27848101265823,1.4050632911392404,3195.6930379746836
38th,139.25,139.25,139.25,139.25,1.0,3148.0
california,132.43971631205673,164.2695035460993,109.73049645390071,253.18439716312056,1.4609929078014185,3301.5927895981085
james,134.93406593406593,182.04395604395606,113.6043956043956,212.07692307692307,1.5934065934065933,3221.474908424908
douglas,145.78571428571428,365.42857142857144,116.92857142857143,231.5,3.0,3337.937074829932
mckay,150.84615384615384,230.0,113.76923076923077,207.30769230769232,2.0,3330.662393162393
portland,106.76470588235294,219.41176470588235,100.3529411764706,355.94117647058823,2.1176470588235294,3382.507189542484
oregon,133.04,218.88,111.84,619.4,1.68,3274.168666666667
only,127.97560975609755,174.3170731707317,105.04878048780488,253.9268292682927,1.5365853658536586,3229.813008130081
that,115.2936507936508,141.8968253968254,108.96031746031746,186.44444444444446,1.2936507936507937,3299.7945767195765
office,147.66666666666666,191.66666666666666,120.0,375.2,1.5333333333333334,3415.7
short,122.6875,154.78125,116.6875,154.8125,1.28125,3366.3567708333335
time,106.7128712871287,141.87128712871288,102.4059405940594,133.88118811881188,1.3564356435643565,3302.507920792079
commentator,210.16666666666666,400.3333333333333,118.88888888888889,210.16666666666666,3.1666666666666665,3263.9342592592593
opposite,139.76470588235293,289.29411764705884,117.76470588235294,300.3529411764706,2.3529411764705883,3268.9500000000003
cbs,137.66666666666666,294.06666666666666,125.73333333333333,428.3333333333333,2.066666666666667,3378.1177777777775
minutes,239.8181818181818,318.27272727272725,108.45454545454545,898.0909090909091,2.272727272727273,3378.515151515152
baldwin,152.84615384615384,202.35384615384615,114.83076923076923,198.09230769230768,1.6923076923076923,3296.9171794871795
liberal,128.0,202.5,116.94444444444444,195.72222222222223,1.6111111111111112,3354.560185185185
always,120.76923076923077,145.30769230769232,92.76923076923077,125.84615384615384,1.4615384615384615,3243.089743589743
had,115.92857142857143,171.26530612244898,107.59183673469387,156.60204081632654,1.530612244897959,3305.1054421768713
